threshold,fp,fn,tp,tn,precision,recall,f1,custo_total
0.66,84,577,1274,565,0.9381443298969072,0.68827660723933,0.794016827672172,73202.49999999999
0.67,78,596,1255,571,0.9414853713428357,0.678011885467315,0.7883165829145728,75349.99999999999
0.68,77,617,1234,572,0.9412662090007627,0.6666666666666666,0.7805186590765338,77892.49999999999
0.69,70,644,1207,579,0.9451840250587314,0.6520799567801189,0.7717391304347826,80989.99999999999
0.7,67,659,1192,582,0.9467831612390787,0.6439762290653701,0.7665594855305466,82737.49999999999
0.71,66,675,1176,583,0.9468599033816425,0.6353322528363047,0.7604267701260912,84667.49999999999
0.72,63,697,1154,586,0.9482333607230896,0.6234467855213398,0.7522816166883963,87272.49999999999
0.73,59,725,1126,590,0.950210970464135,0.6083198271204754,0.7417654808959157,90582.49999999999
0.74,55,747,1104,594,0.9525452976704055,0.5964343598055105,0.7335548172757476,93157.49999999999
0.75,54,774,1077,595,0.9522546419098143,0.5818476499189628,0.7223340040241448,96434.99999999999
0.76,52,796,1055,597,0.953026196928636,0.5699621826039979,0.7133198106828939,99069.99999999999
0.77,47,821,1030,602,0.9563602599814299,0.5564559697460832,0.703551912568306,101982.49999999999
0.78,40,855,996,609,0.9613899613899614,0.5380875202593193,0.6899896085902321,105937.49999999999
0.79,38,886,965,611,0.9621136590229312,0.5213398163155051,0.6762438682550805,109674.99999999999
0.8,36,914,937,613,0.9630010277492291,0.5062128579146408,0.6635977337110481,113044.99999999999
0.81,31,952,899,618,0.9666666666666667,0.48568341437061047,0.6465300251708018,117549.99999999999
0.82,29,989,862,620,0.9674523007856342,0.46569421934089683,0.6287381473377097,122022.49999999999
0.83,22,1023,828,627,0.9741176470588235,0.4473257698541329,0.6131062569418734,125977.49999999999
0.84,19,1054,797,630,0.9767156862745098,0.4305780659103187,0.5976752905886764,129684.99999999999
0.85,19,1091,760,630,0.975609756097561,0.4105888708806051,0.5779467680608364,134217.49999999997
0.86,16,1121,730,633,0.9785522788203753,0.3943814154511075,0.562187139006546,137802.49999999997
0.87,13,1161,690,636,0.9815078236130867,0.3727714748784441,0.5403288958496476,142612.49999999997
0.88,12,1204,647,637,0.9817905918057663,0.3495407887628309,0.5155378486055777,147849.99999999997
0.89,9,1261,590,640,0.9849749582637729,0.3187466234467855,0.4816326530612245,154742.49999999997
0.9,6,1306,545,643,0.9891107078039928,0.29443544030253915,0.4537885095753539,160164.99999999997
0.91,5,1360,491,644,0.9899193548387096,0.26526202052944353,0.4184064763527908,166749.99999999997
0.92,5,1424,427,644,0.9884259259259259,0.23068611561318206,0.37406920718353043,174589.99999999997
0.93,5,1474,377,644,0.9869109947643979,0.2036736898973528,0.33766233766233766,180714.99999999997
0.94,5,1543,308,644,0.9840255591054313,0.16639654240950838,0.2846580406654344,189167.49999999997
0.95,4,1603,248,645,0.9841269841269841,0.13398163155051324,0.2358535425582501,196487.49999999997
0.96,2,1678,173,647,0.9885714285714285,0.09346299297676931,0.17077986179664364,205614.99999999997
0.97,1,1746,105,648,0.9905660377358491,0.05672609400324149,0.10730710270822688,213914.99999999997
